time_A_s,time_B_s
0.0,0.06359337352873766
0.2,0.11530920421505655
0.4,0.40325510144354887
0.6000000000000001,0.6422408927898371
0.8,0.9524128703686316
1.0,0.9697487645809139
1.2000000000000002,1.031230422998345
1.4000000000000001,1.4045800729143563
1.6,1.4863783860610664
1.8,1.7394712789933229
2.0,2.029528438363791
2.2,2.2315604204694828
2.4000000000000004,2.3022454160300563
2.6,2.711701961215166
2.8000000000000003,2.826302274302546
3.0,2.9335658705161953
3.2,2.971215993161728
3.4000000000000004,3.174188061197276
3.6,3.7439237493792645
3.8000000000000003,3.894869929292728
4.0,3.9277435418138373
4.2,4.210085104112151
4.4,4.481567899583496
4.6000000000000005,4.5243014721722306
4.800000000000001,4.990577376651353
5.0,5.160135966703434
5.2,5.171092886045669
5.4,5.366037284255109
5.6000000000000005,5.4160908236416505
5.800000000000001,5.711774984917395
6.0,6.088203873024452
6.2,6.192224878835933
6.4,6.431797563878718
6.6000000000000005,6.715638165794799
6.800000000000001,6.807679167214226
7.0,7.04672867605696
7.2,7.150664482279646
7.4,7.3729685204833135
7.6000000000000005,7.5576497734008266
7.800000000000001,7.809588021603225
8.0,8.061992292345053
8.200000000000001,8.111165463947177
8.4,8.548506433047285
8.6,8.607041619764301
8.8,8.805339313398713
9.0,8.924735867414306
9.200000000000001,9.40990892806895
9.4,9.22495231725169
9.600000000000001,9.47723726234484
9.8,10.001901569608382
10.0,10.080790113414048
10.200000000000001,10.308789876701086
10.4,10.392647831425872
10.600000000000001,10.54364160602882
10.8,10.810505082983171
11.0,10.978107307142801
11.200000000000001,11.173906099560813
11.4,11.443885340885188
11.600000000000001,11.586751886233248
11.8,11.821261744126247
12.0,12.083912866972039
12.200000000000001,12.23375697267929
12.4,12.407514958888662
12.600000000000001,12.75337640718445
12.8,12.713001623952344
13.0,12.980699685926867
13.200000000000001,13.330027768760912
13.4,13.305631380971503
13.600000000000001,13.75096939625164
13.8,13.748977638764826
14.0,14.02068995464366
14.200000000000001,14.265984715459924
14.4,14.495568392852553
14.600000000000001,14.68224158411329
14.8,14.75581586036796
15.0,15.028765761363964
15.200000000000001,15.17372649138616
15.4,15.459761839455707
15.600000000000001,15.547951847893694
15.8,15.747323787636315
16.0,16.024356539493965
16.2,16.144540419133136
16.400000000000002,16.302706834639867
16.6,16.608569146324086
16.8,16.840426506976726
17.0,17.06543716140685
17.2,17.170110957760468
17.400000000000002,17.382282734119556
17.6,17.664126606639535
17.8,17.806613454451384
18.0,18.103709809860387
18.2,18.305087996723856
18.400000000000002,18.419230331667553
18.6,18.6654719002423
18.8,18.860287297977447
19.0,18.95663506957887
19.200000000000003,19.101840056377913
19.400000000000002,19.44639968619699
19.6,19.580132339133833
19.8,19.851979327359153
20.0,20.001527637290607
20.200000000000003,20.03573603617531
20.400000000000002,20.397746951999277
20.6,20.579950435622262
20.8,20.703491853514844
21.0,21.121089608115895
21.200000000000003,21.26562680257668
21.400000000000002,21.352842409687675
21.6,21.518070910398123
21.8,21.75128950636485
22.0,22.119045110883903
22.200000000000003,22.203786331573625
22.400000000000002,22.30045315069162
22.6,22.63690394690704
22.8,22.835000078805678
23.0,23.040896841139194
23.200000000000003,23.204607835916562
23.400000000000002,23.283470059695055
23.6,23.741963863276965
23.8,23.6980455474782
24.0,23.97185778447354
24.200000000000003,24.166884817638778
24.400000000000002,24.495374257332156
24.6,24.56185017093064
24.8,24.899591774800133
25.0,25.00803421035025
25.200000000000003,25.188083592899414
25.400000000000002,25.40840504837455
25.6,25.539165321065497
25.8,25.816965061922673
26.0,26.020208827927462
26.200000000000003,26.16184855678931
26.400000000000002,26.37078673539495
26.6,26.632995484038666
26.8,26.698914776350396
27.0,26.936806547711175
27.200000000000003,27.199405856021137
27.400000000000002,27.464200558431536
27.6,27.716267270449247
27.8,27.749642423069567
28.0,27.8997284202541
28.200000000000003,28.30065345205702
28.400000000000002,28.4103948752874
28.6,28.62736291915739
28.8,28.72042983781444
29.0,29.037572984316608
29.200000000000003,29.274104483866505
29.400000000000002,29.349594172770793
29.6,29.570845695980953
29.8,29.68467632798341
30.0,29.97568425841233
30.200000000000003,30.159736370686065
30.400000000000002,30.4211064304154
30.6,30.586798828149924
30.8,30.894738881463244
31.0,31.026670457086126
31.200000000000003,31.220042802684514
31.400000000000002,31.331249496386118
31.6,31.664203541807435
31.8,31.672767000475496
32.0,32.0391099644915
32.2,32.14030556896634
32.4,32.34692007539346
32.6,32.74387050166149
32.800000000000004,32.8038431531433
33.0,32.92444323868111
33.2,33.17526508857925
33.4,33.35997859433419
33.6,33.58055172716961
33.800000000000004,33.84342177550139
34.0,34.04340703794186
34.2,34.26354212475651
34.4,34.404359039096505
34.6,34.72144046759421
34.800000000000004,34.74047558738413
35.0,35.02557814858189
35.2,35.13584825347261
35.4,35.39189099769041
35.6,35.50892647122005
35.800000000000004,35.76670552301384
36.0,35.96346295969167
36.2,36.132386178329675
36.4,36.437893062809714
36.6,36.68382526909377
36.800000000000004,36.64674076872852
37.0,36.92183282627819
37.2,37.14495412976001
37.4,37.432297770001156
37.6,37.74336455808972
37.800000000000004,37.72666482596105
38.0,38.23391684741849
38.2,38.18593155742527
38.400000000000006,38.40037525115433
38.6,38.634982471617
38.800000000000004,38.88745645740695
39.0,38.93670045876474
39.2,39.18050992682865
39.400000000000006,39.360661062956275
39.6,39.55197995583205
39.800000000000004,39.88601109533612
40.0,40.06089518976716
40.2,40.12544523838047
40.400000000000006,40.42735196442527
40.6,40.65641960137936
40.800000000000004,40.749568279597504
41.0,41.13393370623895
41.2,41.19213630350064
41.400000000000006,41.381712897738076
41.6,41.581513893220695
41.800000000000004,41.69470909813443
42.0,41.970300030721816
42.2,42.19630937127923
42.400000000000006,42.36609902738733
42.6,42.63082023092735
42.800000000000004,42.75733066034738
43.0,42.96279030042727
43.2,43.22732957745763
43.400000000000006,43.30036594068445
